Categoria,Titulo,Conteudo,Palavras Chave,URL
Cadastros Gerais 📜,Cadastrar Cliente,"Cadastrar Cliente
CDW0101 - Clientes	Corpo: 0001 
Processo para cadastramento de um novo cliente.
A tela é acessada através do Módulo Cadastros Gerais > Clientes.
Ao acessar a tela para cadastrar um novo cliente, a primeira coisa a ser preenchida é o tipo do cliente, pois essa definição irá impactar nos campos que serão mostrados para preenchimento.
Por exemplo, se o cliente for pessoa jurídica, os campos mostrados serão CNPJ, Inscrição Estadual, Tipo de Contribuinte...
Lembrando que todos os campos em negrito no UNO são campos obrigatórios.
Primeiros cadastros.
(Tela para cadastro de produtor rural)
(Tela para cadastro de estrangeiro)
(Tela para cadastro de pessoa física)
(Tela para cadastro de pessoa jurídica)
Endereços.
Após os primeiros dados do cliente vamos para o endereço.
Para clientes estrangeiros devemos marcar a opção “EX” no campo UF.
Todos os campos devem ser preenchidos corretamente, com exceção dos campos “complemento e referência” que não são campos obrigatórios.
Para clientes nacionais podemos utilizar o botão de 
no campo CEP e os dados serão preenchidos automaticamente, deixando apenas o número para preenchimento manual.
Se a cidade do cliente possuir CEP único, será necessário preencher os campos manualmente.
Alguns clientes utilizam mais de um endereço, diferenciando endereço de cobrança, faturamento e entrega, nesse caso devemos deixar a opção “Utiliza endereço único” desativada, dessa forma abrirá um novo campo para preenchimento deles.
Contatos.
Na parte de contatos devemos preencher os dados pessoais e adicionar funcionários ou sócios, em caso de pessoa física é onde informaremos o CPF do cliente.
Aba dados pessoais: Devemos informar o nome, e-mail e telefone, apesar do CPF não ser um campo obrigatório, é indicado que seja preenchido, pois essa informação pode ser necessária em alguns momentos.
Aba observações do contato: Define a situação deste contato na empresa, se está ativo, de férias, afastado, demitido, etc.
Aba internet: Essa aba é exclusiva para acesso ao Extranet, o campo ID Contato define o login de acesso ao Extranet e o botão “envia e-mail” envia e-mail de Boas Vindas para o contato, gerando uma senha randômica inicial para o primeiro acesso no extranet.
Aba Endereço: Utilizado para cadastrar o endereço dos contatos.
Aba Crédito: são meramente informativos, não impactando em nenhum processo no sistema e também não é exibindo em nenhuma tela do sistema.
Dados Comerciais:
As informações preenchidas nessa tela serão automaticamente carregadas ao inserir o cliente no pedido.
Tabela de preço é a única informação obrigatória nesse passo, ela impactará diretamente o valor final de um pedido de venda.
Banco Padrão: Banco onde será gerado o Contas a Receber
Condições de Pagamento: Somente deve ser preenchida se o cliente sempre pagará da mesma forma, caso não, o ideal é deixar em branco e na hora da venda selecionar a condição negociada. O mesmo se aplica para Forma Pagto.
NOP: É onde será definido os impostos referente a esse cliente. Ideal já deixar preenchido.
Tipo de frete: Caso o produto seja para entrega, é necessário preencher o tipo de frete e a transportadora.
Essa informação pode ser preenchida diretamente no pedido de venda.
Fatura Parcial: Essa opção permite que o pedido seja faturado por etapas.
Consumidor Final? : Habilitar essa opção caso o cliente seja consumidor final.
NOP Serviços: Caso a empresa seja prestadora de serviços, deve ser preenchido, pois é onde define os impostos.
Limite de crédito: Utilizado para clientes que por algum motivo possuem crédito em aberto. 
Contas a receber: 
E-mail de Cobrança: E-mail para onde será enviado o boleto (caso esteja como boleto eletrônico) no ato do faturamento. (Obrigatório)
E-mail NF- e: E-mail para onde será enviado o DANFE da Nota Fiscal Eletrônica Federal e Nota de Serviço. (Obrigatório).
Caso o cliente possuía mais de um e-mail deve-se separar por  ; conforme imagem
Informações: 
Permite cadastrar outros dados sobre o cliente.
Faixa de Faturamento: Indica a quantidade de faturamento do cliente por faixa específica de faturamento.
Faixa de Volume: Classifica a faixa de volume.
Exemplo: Vip, Especial, Básico, etc.
Campanha: Indica o tipo de campanha de venda que atraiu este cliente.
Nr Funcionário: Indica o n.º de funcionários que cada cliente possui (isso se cliente estiver cadastrado como pessoa jurídica).
Cod Suframa: O Código Suframa (Superintendência da Zona Franca de Manaus) é composto por 9 caracteres numéricos. Ele é utilizado para identificar empresas que operam na Zona Franca de Manaus, uma área de livre comércio localizada no estado do Amazonas, Brasil.
Conta Contábil Credora: Conta Contábil Credora.*
Conta Contábil Devedora: Conta Contábil Devedora.*
Cod Meta: Objetivo verificar se a meta de vendas para os clientes está sendo cumprida pela equipe comercial.
Valor KM: Indica o valor do KM para este cliente, é preenchido automaticamente de acordo com o parâmetro Valor reembolso Km. Caso seja editado o sistema para reembolso deste cliente vai utilizar o valor informado neste campo para calculo dos títulos.
Qtd KM Contratado (ida e volta): Qtd KM Contratado (ida e volta).*
Perc Comissão Distribuidor: Indica o percentual da comissão do Distribuidor.
Dia Faturamento Distribuidor: Indica o dia do faturamento do distribuidor.
Série NF Distribuidor: Indica o número da séria da NF do Distribuidor.
Banco Distribuidor: Banco Distribuidor.*
Dia Limite para Faturamento: Permite ao usuário cadastrar um dia limite no mês para faturar planos para o cliente
Fornecedor: Com o cliente já cadastrado, ao clicar na opção de n.º 1, o sistema permite gerar novo fornecedor com os dados desse cliente.
Obs: Todo faturamento no sistema é feito a um cliente, ao gerar uma nota fiscal de entrada o sistema verifica qual cliente esta associado o fornecedor e utiliza o cadastro do cliente para o faturamento
Revenda: Ao clicar na opção de n.º 2, o sistema permite gerar revenda com os dados desse cliente.
Este campo pode ser informado uma revenda gerada manualmente, mas não deve ser informado a mesma revenda neste campo para outros clientes.
Transportadora: Ao clicar na opção de n.º 3, o sistema permite gerar transportadora com os dados desse cliente.
Este campo pode ser informado uma transportadora gerada manualmente.","cliente, cadastrar",https://unoerpwiki.herokuapp.com/pt-br/Cadastrar-cliente
Cadastros Gerais 📜,Cadastrar Cliente Estrangeiro - País informado é invalido,"Cadastro Cliente Estrangeiro
Processo para cadastrar cliente estrangeiro:
No momento de cadastrar um cliente estrangeiro ao digitar o país o sistema retorna com a mensagem “Pais informado é inválido”.
Para dar início no processo é necessário marcar a UF com a opção “EX” 
Necessário validar a nomenclatura do país de acordo com o IBGE, para isso podemos fazer uma consulta na seguinte documentação: Países 
Também é possível realizar uma consulta pelo banco de dados, para isso ir no banco db _ uc_ nfe na tabela gm cada_pais e realizar a busca usando o like:","país inválido, cadastro cliente",https://unoerpwiki.herokuapp.com/pt-br/cadastro-cliente-estrangeiro
Cadastros Gerais 📜,Condição de pagamento do Cliente,"Condições de Pagamento do Cliente
Tela: CDD0007 -  Condições de Pagamento do Cliente	Corpo: 0001 (01.01)
Permissões: CDD0007 -  Condições de Pagamento do Cliente	 
A tela é acessada pelo Módulo Cadastros Gerais: Clientes → CDD0007 - Condições de Pagamento do Cliente
A tela abre a partir da seleção do Checkbox ""Restringe Cond. pagto"" e clicar no botão 
IMPORTANTE: No pedido ou plano só fica disponível as formas de pagamento selecionadas","cliente, condição, pagamento",https://unoerpwiki.herokuapp.com/pt-br/Condicao-pagamento-cliente
Cadastros Gerais 📜,Tela Inicial – Não exibe o DESKTOP,"Tela Inicial – Não exibe o DESKTOP
Tela: 	Corpo:
Parâmetros Relacionadas: 	Tipo Desktop (0=Desktop 1=Tarefas)
Problema:
Ao realizar o login no sistema é exibido sempre a tela ATW0005 - Desktop de Tarefas na tela inicial. No colaborador o campo consta em branco:
Módulo Segurança: Colaboradores → SGW0014 – Colaboradores
Solução
O parâmetro “Tipo Desktop (0=Desktop 1=Tarefas)” constava como 1 por isso era exibida a tela inicial como ATW0005 - Desktop de Tarefas. Alterado o parâmetro para 0 e passou a ser exibido a tela Desktop para os usuários:
O parâmetro fica em Módulo Cadastros Gerais: Cadastros Iniciais → Parâmetros Iniciais → CDW0001 - Parâmetros do Sistema:
O parâmetro define o tipo de desktop a ser exibido na tela inicial do sistema, podendo ser o desktop padrão ou desktop de tarefas.
Após a alteração passou a ser exibido a tela inicial como Desktop:","tela, inicial, exibe, desktop",https://unoerpwiki.herokuapp.com/pt-br/Tela-Inicial-N%C3%A3o-exibe-o-DESKTOP
Cadastros Gerais 📜,Motivos Devolução,"Motivos Devolução
Tela: VDW0030 	Corpo: 01.01
Módulo Cadastros Gerais: Cadastros Iniciais à VDW0030 – Motivos Devolução
Descrição: Cadastra os Motivos de Devolução
Descrição dos Campos, Implicações e Exemplos
Na Tela VDW0030 para criar um novo motivo é necessário no botão novo para que abra uma nova “linha” para digitação.
Clique duas vezes na linha azul no campo “Descrição Abreviada” para que seja possível digitar tanto a descrição abreviada quanto a descrição.
Clique em gravar.","devolução, motivos devolução, motivos",https://unoerpwiki.herokuapp.com/pt-br/Motivos-Devolucao
Cadastros Gerais 📜,Banco Cora,"Banco Cora
Tela: CDW0001 - Parâmetros do Sistema
Caso tenha problemas em relação a boletos do banco Cora em baixa de contas a receber, por favor deixe os parâmetros do sistema no módulo Cora com os campos em branco assim como mostra a imagem abaixo:
Após ter deixado os espaços em brancos, será necessário realizar a sincronização ao banco Cora novamente, para isso deverá seguir os passos abaixo:
Financeiro -> Cadastros -> Bancos - Selecionar o banco Cora e clicar no botão "" Conectar Cora "".
Se aparecer a mensagem abaixo significa que o processo de credenciamento foi realizado com sucesso:
Após estes procedimentos, o erro irá se sanar e as contas com pagamento efetuado iram se sincronizar.","banco, cora",https://unoerpwiki.herokuapp.com/pt-br/Banco-Cora
Cadastros Gerais 📜,Bo - objetos custumizados,"BO
Tela: CDW0024 - Objetos Customizados
Problema: Inclusão de Objetos customizados nas aplicações.
Campo Sistema: Lista as siglas dos módulos do UNO ERP (Vendas, Financeiro, Estoque, etc ...) a qual o BO irá atuar alterando o processo padrão.
Campo Nome Objeto: Esse campo deve ser preenchido com o nome do objeto e não o nome do objeto customizado. Ex:  
Podemos ver no print que o BO de comissão está ligado ao módulo de Vendas, o Nome do Objeto é somente: ComissaoBO e o Nome Objeto Custom é o ComissaoBOTonoga que é o objeto customizado ao cliente.
É importante seguir essa lógica pois se o campo Nome do Objeto estiver preenchido com a informação do campo Nome Objeto Custom o BO não terá o efeito desejado. Também é importante sempre lembrar que após configurado o BO o tomcat precisa ser reiniciado para que seja aplicado o BO e a rotina diferente por ele contemplada. 
O campo Explicar o Objetivo/Motivo deve estar sempre preenchido com a mecânica implementada pelo BO.","bo, objetos custumizavies",https://unoerpwiki.herokuapp.com/pt-br/B-o
Cadastros Gerais 📜,Cadastro produtos entre empresas,"Cadastro de produtos entre empresas
Tela: CDW0201	Corpo: 0001
Permissões Relacionadas: 
(Acesso a tela) CDW0201 – Produtos e Serviços
CDW0201F – Permite visualizar empresas
CDW0201D – Permite alterar dados gerais dos Produtos
Dentro da aplicação Uno é possível disponibilizar o cadastro de um produto em outras empresas sem que se faça necessário realizar seu preenchimento novamente.
Procedimentos:
Na empresa onde o produto está inicialmente cadastrado, acessar o módulo de Cadastros Gerais > Produtos e Serviços;
Carregar o cadastro do produto em questão;
Selecionar a aba “Empresas”;
Marcar a empresa para a qual o cadastro do produto será disponibilizado.
     2 .Realizada a seleção da empresa, gravar o cadastro do produto.
Finalizado o processo, ao acessar a empresa para a qual o produto foi transferido, o cadastro irá constar com as mesmas informações da empresa inicial.","produto, cadastro, empresas",https://unoerpwiki.herokuapp.com/pt-br/Cadastro-produto-entre-empresas
Cadastros Gerais 📜,Esse produto não pode ser utilzado por não é faturado,"Esse Produto não pode ser utilizado pois não é faturado
Tela: VDW0001 - Pedidos
Permissões Relacionadas:
CDW0201 - Produtos e Serviços
Descrição do Problema: Ao inserir o código do item consta a mensagem “Esse Produto não pode ser utilizado pois não é faturado”.
Descrição da Solução: No cadastro do item deve estar selecionado a opção Item Faturado. 
Cadastros gerais – Produtos e Serviços","produto, faturado",https://unoerpwiki.herokuapp.com/pt-br/Produto-nao-faturado
Cadastros Gerais 📜,Produtos e serviços icone desc comercial,"Produtos e Serviços – Ícone Desc Comercial
Tela: CDW0201 - Produtos e Serviços
Problema:
Como alterar a descrição do ícone 
 no campo Desc Comercial:
Módulo Cadastros Gerais: Produtos e serviços → CDW0201 - Produtos e Serviços
A descrição exibida no ícone é definida em Módulo Cadastros Gerais: Cadastros Iniciais → Parâmetros Iniciais → CDW0001 - Parâmetros do Sistema – Módulo Cadastros Gerais:","comercial, icone, produtos, serviços, desc",https://unoerpwiki.herokuapp.com/pt-br/Produtos-servicos-icone
